schoolID,school_name,school_city,school_state,school_country,NULL
kystcat,St. Catherine College,St. Catherine,KY,USA,NULL
kywesleyan,Kentucky Wesleyan College,Owensboro,KY,USA,NULL
kywkycc,West Kentucky Community and Technical College,Paducah,KY,USA,NULL
labossi,Bossier Parish Community College,Bossier City,LA,USA,NULL
lacollege,Louisiana College,Pineville,LA,USA,NULL
ladelga,Delgado Community College,New Orleans,LA,USA,NULL
lafayette,Lafayette College,Easton,PA,USA,NULL
lakeforest,Lake Forest College,Lake Forest,IL,USA,NULL
lamar,Lamar University,Beaumont,TX,USA,NULL
lambuthtn,Lambuth University,Jackson,TN,USA,NULL
lanecol,Lane College,Jackson,TN,USA,NULL
lasalle,LaSalle University,Philadelphia,PA,USA,NULL
latech,Louisiana Tech University,Ruston,LA,USA,NULL
laverneca,University of La Verne,La Verne,CA,USA,NULL
lebvalley,Lebanon Valley College,Annville,PA,USA,NULL
lee,Lee University,Cleveland,TN,USA,NULL
lehigh,Lehigh University,Bethlehem,PA,USA,NULL
lemoyne,LeMoyne College,Syracuse,NY,USA,NULL
lemoynowen,LeMoyne-Owen College,Memphis,TN,USA,NULL
lenoirrhyn,Lenoir-Rhyne College,Hickory,NC,USA,NULL
lewclarkor,Lewis and Clark College,Portland,OR,USA,NULL
lewclarkst,Lewis-Clark State College,Lewiston,ID,USA,NULL
lewisil,Lewis University,Romeoville,IL,USA,NULL
liberty,Liberty University,Lynchburg,VA,USA,NULL
lincolnlandcc,Lincoln Land Community College,Springfield,IL,USA,NULL
lincolnmem,Lincoln Memorial University,Harrogate,TN,USA,NULL
lincolnmo,Lincoln University,Jefferson City,MO,USA,NULL
linfieldor,Linfield College,McMinnville,OR,USA,NULL
lipscomb,Lipscomb University,Nashville,TN,USA,NULL
lockhaven,Lock Haven University of Pennsylvania,Lock Haven,PA,USA,NULL
longbeach,California State University Long Beach,Long Beach,CA,USA,NULL
longisland,Long Island University, Brooklyn Campus,Brooklyn,NY,USA
longwoodva,Longwood University,Farmville,VA,USA,NULL
lorasia,Loras College,Dubuque,IA,USA,NULL
louisville,University of Louisville,Louisville,KY,USA,NULL
loyolachi,Loyola University Chicago,Chicago,IL,USA,NULL
loyolamary,Loyola Marymount University,Los Angeles,CA,USA,NULL
loyolamd,Loyola College in Maryland,Baltimore,MD,USA,NULL
loyolano,Loyola University New Orleans,New Orleans,LA,USA,NULL
lsu,Louisiana State University,Baton Rouge,LA,USA,NULL
lubbchrist,Lubbock Christian University,Lubbock,TX,USA,NULL
lutheria,Luther College,Decorah,IA,USA,NULL
lycomingpa,Lycoming College,Williamsport,PA,USA,NULL
lynchbrgva,Lynchburg College,Lynchburg,VA,USA,NULL
maassum,Assumption College,Worcester,MA,USA,NULL
macmurryil,MacMurray College,Jacksonville,IL,USA,NULL
macollege,Massachusetts College of Liberal Arts,North Adams,MA,USA,NULL
madeajc,Dean College,Franklin,MA,USA,NULL
maemers,Emerson College,Boston,MA,USA,NULL
maine,University of Maine at Orono,Orono,ME,USA,NULL
malowete,Lowell Technological Institute,Lowell,MA,USA,NULL
mamassa,Massasoit Community College,Brockton,MA,USA,NULL
mamerri,Merrimack College,North Andover,MA,USA,NULL
mamiddl,Middlesex Community College,Bedford,MA,USA,NULL
manchester,Manchester College,North Manchester,IN,USA,NULL
manecco,Northern Essex Community College,Haverhill,MA,USA,NULL
manhattan,Manhattan College,New York,NY,USA,NULL
mankatost,Minnesota State University, Mankato,Mankato,MN,USA
manscco,North Shore Community College,Danvers,MA,USA,NULL
mansfield,Mansfield University of Pennsylvania,Mansfield,PA,USA,NULL
maquins,Quinsigamond Community College,Worcester,MA,USA,NULL
mariettaoh,Marietta College,Marietta,OH,USA,NULL
marquette,Marquette University,Milwaukee,WI,USA,NULL
marshall,Marshall University,Huntington,WV,USA,NULL
maryhrdbay,University of Mary Hardin-Baylor,Belton,TX,USA,NULL
maryland,University of Maryland,College Park,MD,USA,NULL
masslowell,University of Massachusetts Lowell,Lowell,MA,USA,NULL
mastersca,The Master's College,Santa Clarita,CA,USA,NULL
mcdaniel,McDaniel College,Westminster,MD,USA,NULL
mcmgccc,Mississippi Gulf Coast Community College,Perkinston,MS,USA,NULL
mcneese,McNeese State University,Lake Charles,LA,USA,NULL
mdaacco,Anne Arundel Community College,Arnold,MD,USA,NULL
mdbalcc,Baltimore City Community College,Baltimore,MD,USA,NULL
mdbalti,University of Baltimore,Baltimore,MD,USA,NULL
mdccbcc,Community College of Baltimore County, Catonsville Campus,Catonsville,MD,USA
mdccbce,Community College of Baltimore County, Essex Campus,Essex,MD,USA
mdcecil,Cecil Community College,North East,MD,USA,NULL
mdcolsm,College of Southern Maryland,La Plata,MD,USA,NULL
mdfrost,Frostburg State University,Frostburg,MD,USA,NULL
mdgarre,Garrett Community College,McHenry,MD,USA,NULL
mdhager,Hagerstown Community College,Hagerstown,MD,USA,NULL
mdmdbal,University of Maryland Baltimore,Baltimore,MD,USA,NULL
mdmontg,Montgomery College, Rockville Campus,Rockville,MD,USA
mdrockh,Rock Hill College,Ellicott City,MD,USA,NULL
mdstjoh,St. John's College,Annapolis,MD,USA,NULL
memphis,University of Memphis,Memphis,TN,USA,NULL
meramec,St. Louis Community College, Meramec Campus,Kirkwood,MO,USA
mercer,Mercer University,Macon,GA,USA,NULL
mercyhurst,Mercyhurst College,Erie,PA,USA,NULL
mericke,Ricker College,Houlton,ME,USA,NULL
mesast,Mesa State College,Grand Junction,CO,USA,NULL
messiah,Messiah College,Grantham,PA,USA,NULL
mestjos,St. Joseph's College,Standish,ME,USA,NULL
mewestb,Westbrook College,Portland,ME,USA,NULL
miamidade,Miami-Dade College,Miami,FL,USA,NULL
miamifl,University of Miami,Coral Gables,FL,USA,NULL
miamioh,Miami University of Ohio,Oxford,OH,USA,NULL
michigan,University of Michigan,Ann Arbor,MI,USA,NULL
michiganst,Michigan State University,East Lansing,MI,USA,NULL
middlbryvt,Middlebury College,Middlebury,VT,USA,NULL
midetrte,Detroit Institute of Technology,Detroit,MI,USA,NULL
midlndluth,Midland Lutheran College,Fremont,NE,USA,NULL
migocco,Glen Oaks Community College,Centreville,MI,USA,NULL
migrand,Grand Rapids Community College,Grand Rapids,MI,USA,NULL
mihenry,Henry Ford Community College,Dearborn,MI,USA,NULL
mikalam,Kalamazoo Valley Community College,Kalamazoo,MI,USA,NULL
millersvil,Millersville University of Pennsylvania,Millersville,PA,USA,NULL
milligantn,Milligan College,Milligan College,TN,USA,NULL
millikin,Millikin University,Decatur,IL,USA,NULL
millsapsms,Millsaps College,Jackson,MS,USA,NULL
milmich,Lake Michigan College,Benton Harbor,MI,USA,NULL
mimacom,Macomb Community College,Warren,MI,USA,NULL
mimuske,Muskegon Community College,Muskegon,MI,USA,NULL
minnesota,University of Minnesota,Minneapolis,MN,USA,NULL
minorth,Northern Michigan University,Marquette,MI,USA,NULL
mioakla,Oakland Community College,Farmington Hills,MI,USA,NULL
missouri,University of Missouri Columbia,Columbia,MO,USA,NULL
missst,Mississippi State University,Mississippi State,MS,USA,NULL
mistcla,St. Clair County Community College,Port Huron,MI,USA,NULL
mit,Massachusetts Institute of Technology,Cambridge,MA,USA,NULL
mnbemid,Bemidji State University,Bemidji,MN,USA,NULL
mnmesabi,Mesabi Range Community and Technical College,Virginia,MN,USA,NULL
mnmoorh,Minnesota State University, Moorhead,Moorhead,MN,USA
mnmorris,University of Minnesota, Morris,Morris,MN,USA
mnnorma,Normandale Community College,Bloomington,MN,USA,NULL
mnparke,Parker College,Winnebago,MN,USA,NULL
mntclairst,Montclair State University,Montclair,NJ,USA,NULL
mobileal,University of Mobile,Mobile,AL,USA,NULL
moconco,Concordia Seminary-St. Louis,St. Louis,MO,USA,NULL
mocrowd,Crowder College,Neosho,MO,USA,NULL
moculve,Culver-Stockton College,Canton,MO,USA,NULL
modrury,Drury University,Springfield,MO,USA,NULL
moeastc,East Central College,Union,MO,USA,NULL
mofores,St. Louis Community College, Forest Park Campus,St. Louis,MO,USA
moharri,Harris-Stowe State College,St. Louis,MO,USA,NULL
mojcjco,Jefferson City Junior College,Jefferson City,MO,USA,NULL
mojeffe,Jefferson College,Hillsboro,MO,USA,NULL
molongv,Longview Community College,Kansas City,MO,USA,NULL
momaple,Maple Woods Community College,Kansas City,MO,USA,NULL
mominer,Mineral Area College,Park Hills,MO,USA,NULL
monmouth,Monmouth University,West Long Branch,NJ,USA,NULL
monroecc,Monroe Community College,Rochester,NY,USA,NULL
montevallo,University of Montevallo,Montevallo,AL,USA,NULL
montreatnc,Montreat College,Montreat,NC,USA,NULL
morehead,Morehead State University,Morehead,KY,USA,NULL
morehouse,Morehouse College,Atlanta,GA,USA,NULL
morganst,Morgan State University,Baltimore,MD,USA,NULL
morolla,Missouri University of Science and Technology,Rolla,MO,USA,NULL
mosouthern,Missouri Southern State University,Joplin,MO,USA,NULL
motarki,Tarkio College,Tarkio,MO,USA,NULL
mothree,Three Rivers Community College,Poplar Bluff,MO,USA,NULL
movalley,Missouri Valley College,Marshall,MO,USA,NULL
mowestern,Missouri Western State University,St. Joseph,MO,USA,NULL
mrningside,Morningside College,Sioux City,IA,USA,NULL
mryvilletn,Maryville College,Maryville,TN,USA,NULL
mscollege,Mississippi College,Clinton,MS,USA,NULL
mscopia,Copiah-Lincoln Community College,Wesson,MS,USA,NULL
mseccco,East Central Community College,Decatur,MS,USA,NULL
msgcmac,Gulf Coast Military Academy,Gulfport,MS,USA,NULL
